date,open,high,low,close,year,month,day,day_name,price_change,price_range,pct_gain_loss,ma_7,ma_30,volatility,risk_level,volume_per_million,market_trend
2018-11-05,311.1,317.53,303.74,315.44,2018,11,5,Monday,4.34,13.79,2.0,302.03,338.64,0.04,High Risk,10.28,Bullish
2018-11-06,314.76,320.22,305.3,310.84,2018,11,6,Tuesday,-3.92,14.92,-1.0,303.6,336.69,0.04,High Risk,9.71,Bearish
2018-11-07,312.9,328.56,311.0,327.5,2018,11,7,Wednesday,14.6,17.56,5.0,309.69,335.01,0.03,High Risk,13.33,Bullish
2018-11-08,328.0,332.05,316.61,317.92,2018,11,8,Thursday,-10.08,15.44,-3.0,314.28,332.92,0.04,High Risk,11.02,Bearish
2018-11-09,311.07,312.98,298.01,303.47,2018,11,9,Friday,-7.6,14.97,-5.0,314.52,330.56,0.04,High Risk,13.48,Bearish
2018-11-12,300.0,302.49,290.63,294.07,2018,11,12,Monday,-5.93,11.86,-3.0,311.19,327.65,0.03,High Risk,10.92,Bearish
2018-11-13,295.0,303.55,289.1,294.4,2018,11,13,Tuesday,-0.6,14.45,0.0,309.09,324.89,0.03,High Risk,12.23,Bearish
2018-11-14,300.4,301.84,278.3,286.73,2018,11,14,Wednesday,-13.67,23.54,-3.0,304.99,321.88,0.03,High Risk,16.85,Bearish
2018-11-15,285.51,292.5,282.16,290.06,2018,11,15,Thursday,4.55,10.34,1.0,302.02,319.43,0.03,High Risk,9.97,Bullish
2018-11-16,287.14,291.72,281.0,286.21,2018,11,16,Friday,-0.93,10.72,-1.0,296.12,317.26,0.02,Low Risk,9.1,Bearish
2018-11-19,283.79,285.09,269.15,270.6,2018,11,19,Monday,-13.19,15.94,-5.0,289.36,314.64,0.02,High Risk,12.99,Bearish
2018-11-20,254.63,276.34,250.0,266.98,2018,11,20,Tuesday,12.35,26.34,-1.0,284.15,311.68,0.02,Low Risk,16.69,Bullish
2018-11-21,274.42,275.34,261.51,262.13,2018,11,21,Wednesday,-12.29,13.83,-2.0,279.59,309.56,0.02,Low Risk,11.02,Bearish
2018-11-23,260.11,265.5,256.84,258.82,2018,11,23,Friday,-1.29,8.66,-1.0,274.5,307.48,0.02,Low Risk,5.25,Bearish
2018-11-26,260.55,266.25,253.8,261.43,2018,11,26,Monday,0.88,12.45,1.0,270.89,304.88,0.02,Low Risk,12.5,Bullish
2018-11-27,259.24,269.08,256.14,266.63,2018,11,27,Tuesday,7.39,12.94,2.0,267.54,302.66,0.02,High Risk,11.15,Bullish
2018-11-28,271.98,284.0,263.34,282.65,2018,11,28,Wednesday,10.67,20.66,6.0,267.03,300.54,0.04,High Risk,14.8,Bullish
2018-11-29,282.32,290.49,275.5,288.75,2018,11,29,Thursday,6.43,14.99,2.0,269.63,298.01,0.03,High Risk,15.43,Bullish
2018-11-30,288.0,290.81,283.06,286.13,2018,11,30,Friday,-1.87,7.75,-1.0,272.36,295.99,0.03,High Risk,11.86,Bearish
2018-12-03,293.19,298.72,284.58,290.3,2018,12,3,Monday,-2.89,14.14,1.0,276.39,294.57,0.02,High Risk,14.12,Bearish
2018-12-04,288.13,295.74,274.72,275.33,2018,12,4,Tuesday,-12.8,21.02,-5.0,278.75,292.77,0.03,High Risk,12.8,Bearish
2018-12-06,268.33,283.22,267.14,282.88,2018,12,6,Thursday,14.55,16.08,3.0,281.81,291.09,0.03,High Risk,13.07,Bullish
2018-12-07,282.48,284.21,263.38,265.14,2018,12,7,Friday,-17.34,20.83,-6.0,281.6,289.87,0.04,High Risk,12.47,Bearish
2018-12-10,264.19,271.18,260.61,269.7,2018,12,10,Monday,5.51,10.57,2.0,279.75,288.43,0.04,High Risk,9.61,Bullish
2018-12-11,274.08,274.5,262.76,265.32,2018,12,11,Tuesday,-8.76,11.74,-2.0,276.4,287.28,0.03,High Risk,9.84,Bearish
2018-12-12,267.66,281.77,266.48,274.88,2018,12,12,Wednesday,7.22,15.29,4.0,274.79,286.95,0.04,High Risk,11.46,Bullish
2018-12-13,277.64,279.32,271.85,276.02,2018,12,13,Thursday,-1.62,7.47,0.0,272.75,286.62,0.04,High Risk,8.38,Bearish
2018-12-14,271.81,277.67,265.0,266.84,2018,12,14,Friday,-4.97,12.67,-3.0,271.54,285.46,0.04,High Risk,9.92,Bearish
2018-12-17,266.51,272.98,261.08,262.8,2018,12,17,Monday,-3.71,11.9,-2.0,268.67,283.64,0.03,High Risk,9.63,Bearish
